district	schoolName
269	62,142,153,170,1015,1131,1149,1240,1862,2465,2537,2563,2595,2706,2906,2936,2984,2988,3027,3098,3389,3390,3449,3509,4087,4340,4388,4401,4534,4544,4580,4888,4941,5117,5136,5222,5336,5403,5420,5542,5630,5672,5884,6026,6155,6378,6637,6850,6975,7016,7247,7343,7403,7660,7831,8168,8173,8645,8682,8817,8848,9075,9631,10043
270	3408
271	973,2862,3416,4062,6113,7542,8089,8977,9900
272	1165,1599,3428,3645,6183,8296
273	3447
274	3501,3502
275	474,1143,1776,2536,2775,2809,3511,3512,3513,3514,3542,4991,5438,6217,7743,8469,8532
276	73,396,701,879,1612,1864,1925,1951,2142,2220,2554,2801,3546,3556,3975,4167,4492,4534,4540,4843,5666,6082,6178,6822,7342,7824,9050,9062,9065,9406,9472,10071
277	2178,3547,3572,4853,8092,8236,8655,8853,9859,9947
278	3553,8756,9632,9916
279	3554
280	3576,7191
281	3582,8863
282	7157
283	1375,3946,8010,9172,9173
284	9728
285	1068,2720,2842,3186,3605,4103,4327,4677,4878,5074,6193
286	3068,3612,3613,4854,8471
287	3661
288	831,3671,5453,5605
289	3067,3658,3700,3702,4172,5121,5807,7170,7171,7358,9354,9615
290	1619,5729,6549,9604
291	3714
292	2967,3717,5811,8879,9991
293	1662,2618,2716,2717,2734,2811,3197,3199,3656,3726,3945,6084,6175,8160,8667,8668,9350,9768
294	4711,5727
295	3737
296	3746,3747,3748,7145,7147,7764
297	707,975,1295,1554,2338,3055,3532,3651,3681,3757,4826,4886,5010,5332,5333,5379,5392,5891,6317,6387,6734,6878,6882,7318,8380,8549,8550,8830,8978,9351,9367,9379,9730,9946,9960,10013,10082
298	2829,3775,3776,3777
299	3485,3776,3789,3790,4429,4503,4592,5085,5189,5704,6051,7779,10070
300	2593,3787,3788,3791,3792,3793,8359
301	3801
302	3804,3805
303	3857
304	1166,3886,3887,4425,4820,7256,7384,9690,10110,10162
305	466,1048,1080,1086,1194,1625,1723,2610,2666,2667,2800,3067,3071,3524,3591,3822,3894,3895,4040,4245,4814,5064,5308,5323,5712,6210,6890,6951,7881,8190,8390,8538,8555,8717,8744,8751,8991,9185,9279,10024
306	3151,3906,3907,3908,3909,5593
307	3920,3971
308	3942,7679
309	83,200,602,775,1541,2253,2405,3082,3347,3832,3932,3948,3949,4235,4368,5233,5827,7388,7438,8921,9355,9796,9812,9877,10003
310	3997,3998
311	1390,1440,1551,2086,2202,2998,4007,4008,4110,4600,4638,4770,4823,5180,5579,5887,5900,5998,6035,6563,7400,8763,9141
312	4012,4013,4014
313	2156,6458,8504,9770
314	1938,2807,4085,4086,4318
